,-1,-0.3,0,0.3,1,MEMO
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.008|-2.0|0.981|-2.4|,0,1.01E-06,0,-7.58E-08,0,1
1.024|-1.2|1.002|-2.4|0.989|-3.2|1.007|-1.9|0.981|-2.4|,-1.30E-06,-2.33E-07,0,-3.21E-06,-6.02E-07,1
1.023|-1.2|1.002|-2.4|0.989|-3.2|1.007|-1.9|0.981|-2.4|,-1.64E-06,-3.90E-07,0,2.39E-06,0,1
1.025|-1.2|1.003|-2.4|0.990|-3.2|1.008|-2.0|0.981|-2.4|,1.53E-06,0,-1.32E-05,-9.32E-07,-2.23E-06,1
1.026|-1.2|1.004|-2.4|0.991|-3.2|1.009|-2.0|0.981|-2.4|,3.63E-06,0,-1.11E-06,0,0,1
1.023|-1.2|1.001|-2.4|0.988|-3.2|1.007|-1.9|0.981|-2.4|,0,0,0,0,1.30E-06,1
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.007|-1.9|0.981|-2.4|,-7.75E-07,-1.83E-07,3.70E-06,-8.52E-08,-7.71E-07,1
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.008|-1.9|0.981|-2.4|,-1.00E-06,-4.40E-07,2.10E-05,-3.85E-07,-2.01E-06,1
1.022|-1.2|1.001|-2.4|0.988|-3.2|1.007|-1.9|0.981|-2.4|,0,-1.62E-06,0,0,0,1
1.022|-1.2|1.001|-2.4|0.988|-3.2|1.006|-1.9|0.981|-2.4|,-5.52E-06,-0.000141575,0,-2.70E-06,0,1
1.021|-1.2|1.000|-2.4|0.987|-3.2|1.006|-1.9|0.981|-2.4|,0,-1.28E-06,0.00036319,0,0,1
1.021|-1.2|1.000|-2.4|0.987|-3.2|1.005|-1.9|0.981|-2.4|,-7.12E-06,0,0,-1.98E-06,0,1
1.020|-1.1|0.999|-2.3|0.986|-3.2|1.005|-1.9|0.980|-2.4|,-6.94E-06,0,0,0,0,1
1.019|-1.1|0.997|-2.3|0.984|-3.2|1.004|-1.9|0.980|-2.4|,0,0,0,0,7.12E-06,1
1.020|-1.1|0.999|-2.3|0.986|-3.2|1.005|-1.9|0.981|-2.4|,0,-4.27E-06,0,-1.20E-06,0,1
1.020|-1.1|0.998|-2.3|0.985|-3.2|1.004|-1.9|0.980|-2.4|,0,0,0,0,8.22E-06,1
1.021|-1.1|0.999|-2.4|0.986|-3.2|1.005|-1.9|0.981|-2.4|,-5.90E-06,0,0,4.33E-06,1.05E-05,1
1.020|-1.1|0.998|-2.3|0.985|-3.2|1.005|-1.9|0.980|-2.4|,0,0,0,0,3.00E-06,1
1.020|-1.1|0.999|-2.4|0.986|-3.2|1.005|-1.9|0.981|-2.4|,0,0,0,-6.11E-07,0,1
1.022|-1.2|1.000|-2.4|0.987|-3.2|1.006|-1.9|0.981|-2.4|,-5.30E-06,0,0,-6.94E-06,0,1
1.023|-1.2|1.001|-2.4|0.988|-3.2|1.006|-1.9|0.981|-2.4|,-1.67E-06,0,0,0,0,1
1.022|-1.2|1.000|-2.4|0.987|-3.2|1.003|-1.8|0.981|-2.4|,-6.54E-07,0,-4.27E-07,-8.83E-06,1.95E-06,1
1.021|-1.1|0.999|-2.4|0.986|-3.2|1.003|-1.8|0.981|-2.4|,-6.34E-06,0,-4.04E-07,0,5.85E-06,1
1.020|-1.1|0.998|-2.3|0.985|-3.2|1.002|-1.8|0.980|-2.4|,0,-2.24E-06,0,0,0,1
